GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037232300,6037232300,61,5.8,8.7,46654,5616,42.9,15.8,0.3,41,70,403.7,33.4,29.6,,,1171
1400000US06037232400,6037232400,59.2,3.2,5.1,45132,7322,24.3,38.1,1.5,36.1,150,370.9,14.7,18.9,,,1263
1400000US06037232500,6037232500,51.1,5.8,10.2,41991,4700,30.3,35.7,0.9,33.1,100,364.2,12.7,25.5,,,1278
1400000US06037232600,6037232600,59.7,4.2,6.6,35645,6339,32.3,24.8,0.7,42.1,100,325,12.4,33.5,,,1143
1400000US06037232700,6037232700,56.6,4.5,7.4,37067,6588,40.1,19.1,1,39.8,100,374.9,18.1,34.5,,,1147
1400000US06037232800,6037232800,60.2,5,7.7,33413,4086,43,9.1,0,47.9,100,371.6,20,32.5,,,1135
1400000US06037234000,6037234000,54.3,3.4,6,56708,5156,25.1,58.9,0.9,15.1,150,533.5,7,17.5,,,1197
1400000US06037234200,6037234200,56.9,5.5,8.8,64476,2361,16,69.4,7.3,7.4,90,622,6.1,7.4,,,1498
1400000US06037234300,6037234300,59.1,7,10.6,43904,3940,6.3,79.9,3.9,9.9,100,497.2,4.6,15.1,,,1216
1400000US06037234501,6037234501,51.6,6.2,10.8,43750,2744,32.3,54.3,0.9,12.5,100,397.8,14.1,15.4,,,1125
1400000US06037234502,6037234502,48,7.7,13.9,24614,2945,16.8,64.1,0.7,18.4,90,415.1,10.1,24.9,,,1105
1400000US06037234600,6037234600,56.5,6.2,9.9,53542,4622,17.1,47.6,1.6,33.7,100,444.8,11,25.6,,,934
1400000US06037234700,6037234700,56.5,3.3,5.5,38776,3482,24.7,44.5,0,30.7,90,370.4,17.6,25.3,,,1109
1400000US06037234800,6037234800,60.8,5.2,7.9,57646,3476,19.4,54.6,0.3,25.7,80,349.5,8.6,14.3,,,1185
1400000US06037234901,6037234901,48.2,5.9,11,16856,2967,29.6,46.1,0,24.2,70,423.1,15.4,53.8,,,1052
1400000US06037234902,6037234902,53.4,5.2,8.8,23321,3924,33.2,41.1,1.9,23.8,100,483,22.3,26.9,,,1078
1400000US06037235100,6037235100,55.5,8.3,13,80398,4487,16.4,68.2,5,10.5,150,528.1,9.1,9,,,1236
1400000US06037235201,6037235201,54.9,5.3,8.9,40000,2676,20.5,59.8,0.3,19.5,100,351.5,12.5,23.1,,,1239
1400000US06037235202,6037235202,55.8,5.5,8.9,31403,4529,20.8,65,0.1,14,150,407.4,11,23.8,,,1045
1400000US06037236000,6037236000,55.8,4.1,6.8,73125,4373,27.2,55.4,6.5,10.9,100,504.1,4.5,7.5,,,1676
1400000US06037236100,6037236100,48.9,7.8,13.7,22463,5808,15,64.2,6.7,14.1,100,427.6,12.5,29.7,,,1092
1400000US06037236202,6037236202,55.2,9.7,15,29436,5782,35.2,41.4,3.7,19.7,100,,13.5,32.5,,,1149
1400000US06037236203,6037236203,54.6,5.6,9.3,26681,3181,19.3,59.3,5.8,15.7,100,,12.4,32,,,1109
1400000US06037236204,6037236204,59.9,6.2,9.4,24828,2966,20.5,55.2,0.8,23.5,100,,17,40.3,,,1111
1400000US06037236400,6037236400,57,4.4,7.2,64636,4462,13.3,81.1,0.9,4.7,150,689.4,9,9.1,,,1328
1400000US06037237101,6037237101,54,4.2,7.1,30938,4131,35,25.3,0.4,39.2,100,409,14.1,32.7,,,1089
1400000US06037237102,6037237102,55.5,1.4,2.4,35123,3357,39.1,15.2,0.4,45.2,100,361.5,25.7,30.9,,,1065
1400000US06037237201,6037237201,56.8,6.2,9.9,45147,3582,35.5,28.5,1.7,34.3,100,322.3,12.9,19.8,,,1213
1400000US06037237202,6037237202,50.9,8.3,14.1,35733,4593,32.8,34.4,1.7,31.1,90,384.1,20.1,21.7,,,1326
1400000US06037237300,6037237300,57.1,4.7,7.6,34784,5387,19.2,55,0.6,25.2,150,371.8,8.1,20.1,,,1118
1400000US06037237401,6037237401,48.6,5.1,9.5,38625,4086,21.1,24.1,0,54.8,100,320.2,14.8,35,,,1052
1400000US06037237402,6037237402,59.5,2.9,4.6,39306,3234,30.8,34,0,35.2,100,296.1,14.5,18.8,,,996
1400000US06037237500,6037237500,55.3,3.8,6.4,33040,2990,25.3,24.7,0,50,90,346.6,17,28,,,956
1400000US06037237600,6037237600,56.7,4.3,7,32438,3902,34.2,21.2,1.1,43.5,90,284.9,21.8,28.8,,,1015
1400000US06037237710,6037237710,61.1,8.1,11.7,35262,4248,27.3,14.5,1,57.3,70,325.4,19.7,32.1,,,1130
1400000US06037237720,6037237720,54.5,3.4,5.9,32077,3753,27.1,22.4,0,50.5,90,356.6,15.7,46.4,,,1147
1400000US06037237800,6037237800,53.4,5.8,9.8,46042,3664,20.9,54.7,0.2,24.1,100,370.1,13.2,16.7,,,951
1400000US06037237900,6037237900,52.1,8.7,14.3,57298,4517,19.5,69.9,0.1,10.4,90,388.3,12,17.2,,,1357
1400000US06037238000,6037238000,54.7,7,11.4,63970,5886,18.7,69,1.2,11.1,90,395.5,8.5,10.8,,,1275
1400000US06037238100,6037238100,55.7,2.9,5,45900,4259,12.5,71.7,0.4,15.4,150,435.5,6.7,23.3,,,1154
1400000US06037238200,6037238200,48.7,2.3,4.5,42344,4994,9.5,73.1,4.3,13.1,80,386,7.3,16.7,,,1100
1400000US06037238310,6037238310,44.5,3.3,6.9,22367,5018,22.3,24.4,0,53.3,100,297.4,21,51.1,,,1055
1400000US06037238320,6037238320,55.3,2.1,3.7,33375,4090,26.5,30.3,0.6,42.6,80,419.4,14.9,37.4,,,991
1400000US06037238400,6037238400,50.3,6.5,11.4,51420,4801,9,78.3,0,12.7,150,392.6,8.5,19.9,,,1285
1400000US06037239201,6037239201,60.7,8.2,11.9,37000,3913,25.3,20.4,0,54.3,90,334.8,24.4,31.9,,,1094
1400000US06037239202,6037239202,57,6.9,10.8,35871,5682,37.7,13.1,0,49.2,80,429.6,18.8,22.3,,,1201
1400000US06037239310,6037239310,62.7,4.9,7.3,39479,4026,46.3,11.6,0,42.2,100,363,21.2,31.5,,,1091
