GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_hvalue,pct_noins,pct_poverty
1400000US06037480102,06037480102,62.2 ,2.1,6.2 ,"103,949 ","3,907 ",54.8 ,1.2 ,33.0 ,11.0 ,"1,382 ",676800,,2.7 
1400000US06037480201,06037480201,53.1 ,9.6,1.4 ,"111,500 ","2,534 ",50.6 ,0.5 ,39.7 ,9.2 ,926 ,696500,,4.8 
1400000US06037480202,06037480202,57.5 ,6.8,3.2 ,"53,816 ","4,255 ",38.7 ,2.5 ,42.5 ,16.3 ,"1,797 ",575000,,17.1 
1400000US06037480302,06037480302,56.2 ,5,15.4 ,"46,118 ","3,858 ",25.9 ,2.0 ,51.4 ,20.7 ,"1,496 ",443300,,21.5 
1400000US06037480303,06037480303,70.0 ,3.1,10.6 ,"32,374 ","4,098 ",21.2 ,3.1 ,59.9 ,15.8 ,"1,832 ",369400,,26.5 
1400000US06037480304,06037480304,69.1 ,6.2,8.2 ,"68,438 ","5,654 ",40.8 ,2.0 ,42.4 ,14.8 ,"2,444 ",573200,,6.9 
1400000US06037480400,06037480400,59.3 ,2.1,4.2 ,"101,645 ","5,485 ",63.7 ,1.8 ,24.6 ,9.9 ,"2,271 ",974000,,2.4 
1400000US06037480500,06037480500,68.3 ,5.6,8.3 ,"76,859 ","7,863 ",58.3 ,4.4 ,26.7 ,10.6 ,"3,695 ",787900,,8.6 
1400000US06037480600,06037480600,67.9 ,3.9,3.4 ,"86,923 ","4,460 ",42.8 ,3.0 ,42.6 ,11.6 ,"1,764 ",828700,,5.4 
1400000US06037480702,06037480702,58.4 ,5.9,7.5 ,"102,212 ","3,277 ",54.6 ,2.7 ,28.3 ,14.4 ,"1,384 ",804900,,7.4 
1400000US06037480703,06037480703,60.0 ,3.9,5.4 ,"69,266 ","4,531 ",47.4 ,2.4 ,37.5 ,12.7 ,"2,002 ",674100,,8.8 
1400000US06037480704,06037480704,69.9 ,5.4,9.2 ,"51,453 ","3,279 ",38.2 ,1.2 ,35.7 ,24.9 ,"1,047 ",477600,,6.1 
1400000US06037480802,06037480802,60.4 ,6,6.0 ,"62,949 ","3,464 ",48.2 ,1.2 ,25.8 ,24.8 ,"1,293 ",552400,,6.6 
1400000US06037480803,06037480803,59.0 ,8.5,7.2 ,"58,212 ","4,998 ",26.5 ,1.6 ,51.1 ,20.8 ,"1,947 ",449300,,13.7 
1400000US06037480804,06037480804,59.7 ,2.8,9.1 ,"46,426 ","4,686 ",22.2 ,1.8 ,56.7 ,19.3 ,"1,703 ",533400,,11.6 
1400000US06037480901,06037480901,50.4 ,2.5,12.6 ,"46,532 ","4,218 ",23.2 ,1.2 ,56.4 ,19.2 ,"1,445 ",371000,,8.2 
1400000US06037480902,06037480902,55.5 ,5.8,4.5 ,"63,750 ","3,206 ",27.4 ,1.9 ,54.6 ,16.1 ,"1,051 ",518700,,13.3 
1400000US06037480903,06037480903,57.0 ,1.5,4.8 ,"35,429 ","3,842 ",28.2 ,1.1 ,53.9 ,16.8 ,"1,457 ",421900,,18.0 
1400000US06037481001,06037481001,65.3 ,4.7,9.5 ,"50,500 ","5,447 ",24.9 ,2.1 ,55.6 ,17.4 ,"2,137 ",481700,,19.0 
1400000US06037481002,06037481002,58.1 ,4.2,2.6 ,"55,129 ","3,814 ",29.3 ,2.8 ,48.2 ,19.7 ,"1,538 ",468200,,18.7 
1400000US06037481101,06037481101,60.2 ,8.1,6.7 ,"52,286 ","3,624 ",20.8 ,2.4 ,60.5 ,16.3 ,"1,499 ",422700,,15.4 
1400000US06037481102,06037481102,67.5 ,5.1,6.7 ,"56,729 ","5,350 ",27.4 ,0.5 ,53.1 ,19.0 ,"1,703 ",524100,,13.2 
1400000US06037481103,06037481103,56.7 ,4,11.8 ,"48,618 ","3,598 ",27.5 ,0.9 ,58.3 ,13.3 ,"1,211 ",569100,,10.5 
1400000US06037481201,06037481201,55.9 ,5.3,7.0 ,"60,923 ","6,608 ",24.5 ,1.3 ,51.2 ,23.0 ,"2,070 ",524600,,9.6 
1400000US06037481202,06037481202,58.3 ,1.9,6.6 ,"54,453 ","3,153 ",21.5 ,0.3 ,63.4 ,14.8 ,842 ,525300,,9.5 
1400000US06037481300,06037481300,52.5 ,3,8.7 ,"45,481 ","6,061 ",13.4 ,0.2 ,78.0 ,8.4 ,"1,914 ",550400,,20.2 
1400000US06037481401,06037481401,61.2 ,4.3,3.2 ,"58,423 ","7,175 ",17.4 ,0.5 ,74.7 ,7.4 ,"2,186 ",490600,,11.6 
1400000US06037481402,06037481402,61.1 ,5.6,5.3 ,"56,400 ","4,361 ",19.5 ,0.4 ,71.1 ,9.0 ,"1,548 ",488300,,10.7 
1400000US06037481500,06037481500,64.7 ,3.1,6.5 ,"42,867 ","3,802 ",17.8 ,1.2 ,69.6 ,11.4 ,"1,347 ",575300,,10.9 
1400000US06037481603,06037481603,54.8 ,4.8,8.4 ,"44,420 ","3,942 ",21.7 ,1.6 ,61.8 ,14.9 ,"1,392 ",434700,,13.4 
1400000US06037481604,06037481604,46.8 ,4.6,4.6 ,"52,768 ","3,387 ",22.9 ,0.7 ,58.7 ,17.7 ,"1,097 ",485300,,16.1 
